,teks,label,clean_teks
647,"lu lebih gak sopan, mukak lu kayak babi!",yes,sopan mukak babi
648,ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA,yes,orang stres gila
649,"Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat",yes,tuhan manusia pante hidup orang dunia akhlak tolol bangsat
650,<USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,yes,username tolol hubung nya gugur pakai hijab syar bilang bayi nya panas dalem hubung nya woyyyy otak jempol singkron sih ya nulis komentar
651,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,yes,bodoh tatacowo banget bain balikanhadewwntar tinggal nyalahin tuh cowopadahal kitenya oon
652,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,yes,kemarin mewek lengket duhhh labil banget sih mbak abege kemarin cari sensasi biar top markotoppp ertong kualitas
653,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",yes,inti kesal att nya anak kasihan kembang psikis anak depan orang tolol anda anak anak dikatain orang benci asa benci batesnya nama manusia suka haters
654,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",yes,hadewwwww permpuan lgsakit jiwaknp peran utama film hantu jeruk purutky khabis stok artis
655,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",yes,tinggalin laki ya laki berfikir kali perempuan kayagni urus becus urus anak mending anak bapake nya didik
656,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",yes,biasa balajaer nyampah ig artissuka ig bikin caption apakok balajaer heboh asyik ceramahin igtar bikinin lagu teh melly loh balajaer berjudulketika balajaer bersabdademi seonggak koin laknat nyabalajaer ngamuk iya koin laknat nya goda rt nya gigiduh elah balajaer kali laku biduan apaminus segalanyalagi bela matianpd sakit jiwa
657,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,yes,rakyat indonesia bodoh beda buruk prilaku buruk sopan santun pilih panutan idola murah kelas ber etika
658,ayu janda bego pny suami kpn nikah laginya?,yes,ayu janda bodoh suami nikah lagi
659,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",yes,anyiennnnggg suara hancur merdu tukang goreng
660,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",yes,syarat sah nikah agama islam cpp cpw saksi wali nikah kawinmahar perkara makeup manglingi syarat sah nikah makeup syarat penuh nikah sah yak emak emak julids
661,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",yes,cewek tau nih ngerebut pacar orang abang dukung sifat jelek ckck
662,<USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,yes,username eh situ kids jaman ya banyak micin ngina bodoh pelihara
663,Jijik liatnya suer deh minceeee,yes,jijik lihat suer deh minceeee
664,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",yes,tabu cium iya bikin eneg citra nya sok alim sok sok bijak sok sok anda citra sok alim sok suci serius
665,"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",yes,cium orang sih malu kecuali mabok malu teman helooow teman libat cium bibir coba bayangin sanggup cium bibir teman teman dasar laku kids jaman emang bodoh banyak micin lho yah
666,Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,yes,anjing nya ngamukhidup mana musuhudh bukanorg musuh
667,"<USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",yes,username ahhh jaga ucap lahh ucap jaga dasar munafik dasar betina zaman ellu kali yangg lebih micin otak selangkang paham moga tuhan ampunin munafik cun
668,"<USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",yes,username yaa ampun upil naruto cermin pecunpengalaman yaa kasihan prihatin mati deh ngotorin dunia manusia
669,"Cuman jual goyangan yak, suara macam taik...",yes,jual goyang yak suara taik
670,Kasian ih nyari uang sampe segitunya,yes,kasihan ih cari uang segitunya
671,anjir tontonan yg sangat tidak bermutu!,yes,anjir tonton mutu
672,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",yes,inul goyang bor baju ketat dcekal nya ni sgja goyang dada suara sbrpa mrsk moral anak muda nonton bawa nafsu
673,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,yes,pnyanyi dangdut kelas nih bukany nonjolin suara nonjolin dada
674,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",yes,najis najis homo orang kaya musnah muka bumi
675,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",yes,haduuh orang akhlak bangeg asa kerja tengkar musuh
676,S lonte ini bkn sensasi ngjak ribut org mulu sampah,yes,s lonte sensasi ajak ribut orang sampah
677,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,yes,banci nenek cucu operasi mua top asli nya cantik
678,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,yes,bagus mingkem hahahahahaha jahat akuuu
679,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,yes,oplas permak jelek pokok muka tegang banci sekian
680,"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??",yes,mending lihat dek molen biarpun cowok cuantik kaya cewek bencong wkwkwk
681,bencong rombeng.menjijikan!!!gay jg.,yes,bencong rombengmenjijikangay
682,"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???",yes,orang gila hitz cari tenar rela penjara cari sensasi settingan beken hina orang astagfirullah kaya sih orang kaya mulut nya sampahga sekolah ya
683,Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,yes,cowok anjing cuihhh orang kaya koar orang ping kaya seduniakarena orang orang kaya orang kaya malahn perilaku orang sederhana pamer kaya dunia akhirat mampus harta bawa mati pants buang laut orang anehhh
684,"cari sensasi supaya tenar, trus banya folowers nya. gak gt gt jg kalee... darar orang setres, ngomong aja masih belepotan gk jelas gt. kamfungan",yes,cari sensasi tenar folowers nya kali darar orang tres bicara belepotan kamfungan
685,ngomong aja belepotan banyak gaya lu bencong,yes,bicara belepotan gaya bencong
686,Orang kebanyakAN makan TAIK ya gini!OTAKnya udah penuh sama TAIK jdi gak bisa berfikir positif!dari cara dia berbicara aja Gak BERMORAL!dasar kaum2 LAKNAT BANCI ANJING kbanyakan BURIT SIH LO jdi Stres!MANUSIA ogah JUMPA sama LO anjing!cuma ANJING yg mau ketemu sama LO taik!,yes,orang banyak makan taik ya giniotaknya penuh taik berfikir positifdari bicara bermoraldasar kaum laknat banci anjing kbanyakan burit sih stresmanusia ogah jumpa anjingcuma anjing ketemu taik
687,Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng iniÃ–,yes,sikat abiss lahh orang sial kaya pimpin negara hormatin mentang president sembarangin marah hina pimpin harap tindak hukum orang ini
688,Jijik banget lihat tingkah si upil ini. Mudah2an secepatnya tidur selamanya,yes,jijik lihat tingkah si upil mudah cepat tidur
689,"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA",yes,edan nih orang makan uang rakyat tidur
690,"Manusia laknat, matinya di apain ya",yes,manusia laknat mati apa ya
691,Sakit di otak sama hatinya itu mah dia. Udah gak ada nurani dan urat malunya. Pajak saya loh yang ngegaji orang2 gila hormat ini,yes,sakit otak hati mah nurani urat malu pajak loh ngegaji orang gila hormat
692,Anak babi bangsat pengen sumpel timah panas ke congor lu biar modar,yes,anak babi bangsat sumpel timah panas congor biar modar
693,Pengen sumpel timah panas ke congor si anak babi pesek buruk rupa,yes,sumpel timah panas congor si anak babi pesek buruk rupa
694,Hey anak bangsat babi pesek buruk rupa keriting.pengen penggal leher lu sampe putus??lumayan buat makanan buaya??,yes,hey anak bangsat babi pesek buruk rupa keritingpengen penggal leher putuslumayan makan buaya
695,"RATU PELAKOR SEJAGAT RAYA, DIMANA2 LONTE YA GAK PUNYA MALU. YG NGERASA LONTE DISINI TOLONG PUNYA MALU DIKIT",yes,ratu pelakor jagat raya lonte ya malu lonte tolong malu
696,Wah ini mahhhh pertemuan buah ranum dan buah busuk ??....dah tau dong yg busuk yg manah ??????????....mentok2nya mah gitu aja kalo pelakor??,yes,mahhhh temu buah ranum buah busuk busuk manah mentok mah pelakor
697,"Ah manda mah gatel, ga bisa liyat cowo dikit lgsg disosor.. Begok aje yg mau ama manda . kegatelan jadi cewe",yes,ah manda mah gatal liyat cowok langsung sosor begok manda kegatelan cewek
698,"Si amanda mukanya ke tante"" umur baru berapa tp muka boros banget .... dasar cabe . Jujur gua mah kgk suka ama ni haltis",yes,si amanda muka tante umur muka boros dasar cabai jujur mah suka ni haltis
699,"Astagah, demen ama cewek dekil kumel. Ibaratnya dari nagita turun ke att. Nagita kaya emas att kaya barlen",yes,astagah demen cewek dekil mel nagita turun att nagita kaya emas att kaya barlen
700,Alah laki laki jaman skrg sm aja. Sama sama bejat. Mau ustad kek bukan kek gila bgt sm perempuan yg bukan istrinya. Aku stju bgt sm yg di blg ustazah <USERNAME> . Msuk surga bkan krna poligami. Msh bnyk hal yg kita buat supaya bs jd akhlak baik untuk bs masuk surga. Yaa smoga aja sih perempuan perempuan pelakor diluar sna mendapat azab yg gak diampuni. Yang hidupnya gk bakal selamat dunia akhirat,yes,alah laki laki jaman bejat ustad gila banget perempuan istri stju banget bilang ustazah username masuk surga poligami akhlak masuk surga yaa moga sih perempuan perempuan pelakor luar azab ampun hidup selamat dunia akhirat
701,Gilaaaaa pelakor banyak bnget laki2 gatal juga banyak alasan untuk berpoligami woiii mikir pake otak haduh saya pikir dia org pintar tau agama mana baik mana buruk.... Allah menguji kesetiaan dan nafsunya eh malah kaya gtu... Menyakiti istri sama sja menutup pintu rejekimu... Anak istri kau korbankan! Sbg seorg imam keluarga dia telah gagal mmpertahankan rmh tangganya mencoreng nama baik nya sndiri... Smua org suka skrg benci sama dia.. M,yes,gilaaaaa pelakor laki gatal alas poligam woiii berfikir pakai otak haduh pikir orang pintar agama buruk allah uji setia nafsu eh kaya sakit istri tutup pintu rejekimu anak istri korban seorg imam keluarga gagal mmpertahankan rumah tangga coreng nama nya orang suka benci m
702,"Biasalah kalo pelakor banyak yang lbh ancur mukanya dari istri sah.. barang bagus pasti cepat laku, karena pelakor jelek nggak laku makanya ngembat laki orang.. ya udah sama2 GATEL kok.. cocok wes.. <USERNAME>",yes,biasa pelakor hancur muka istri sah barang bagus cepat laku pelakor jelek laku ngembat laki orang ya gatal cocok username
703,"lama2 ilfil deh sm ni ertong. caption/ig story nya ngomongin org mlu, org kan jd ambigu nilai si a si b si c. udah gt kaya paling di zholimi, salahinnya depan lawan dong jgn ngmg di status ah. kata nya dewasa ??",yes,ilfil deh ni ertong captionig story nya ngomongin orang mlu orang ambigu nilai si a si bb si c kaya zholimi salahinnya lawan ngomong status ah nya dewasa
704,"<USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",yes,username pikir manusia bodoh eehhh tanteibuomaempo otak picik ya manusi larang dunia orang larang ngungkapin unek bodoh human
705,"Heran deh yg ngatain si via baperan ya wajar lah dese baper karena udin muak sama orang yg munafik sok""an baik sama dese, lah apa kabar yg sering baperan sama laki orang ? Ga pada nyadar diri tuh pemujanya att, bukannya pada gotong royong buat nasehatin att ini malah menggila buat muja"" att dan mojokin viaa. Dese juga manusia keles ahh",yes,heran deh si via baperan ya wajar dese baper udin muak orang munafik sok dese kabar baperan laki orang nyadar tuh puja att gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh
706,"<USERNAME> itu yg komen via nyinyir mulu duh kyak dia gak pernah nyinyirin orang aja, mungkin lebih parah, kalo org sudah sok bener mah gitu, pdhal ini kan media sosial, hak dia dong instagram juga instagram dia, yg penting kan nyinyir gak pake ig s",yes,username komen via nyinyir duh nyinyirin orang parah orang sok mah media sosial hak instagram instagram nyinyir pakai ig s
707,"<USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",yes,username pikir manusia bodoh eehhh tanteibuomaempo otak picik ya manusi larang dunia orang larang ngungkapin unek bodoh human
708,<USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,yes,username nya orang nyindir netijen goblog banyak masyako
709,"<USERNAME> cara didik ortunya nagita bagus, makanya amat sangat heran dg balajaer, kan nagita yah yg dirugikan sm junjunganny.. Knp dia yg dibenci, bodoh bgt asli.",yes,username didik ortunya nagita bagus heran balajaer nagita yah rugi junjunganny benci bodoh banget asli
710,"<USERNAME> pdhl km lebih kampungan loh,pake kerudung tapi mulutnya cuihh..",yes,username kampung lohpake kerudung mulut cuihh
711,Belajaer tuh apa ya? Hahahaha bela artis ampe sebegitunya... manusah2 begoh ????????,yes,belajaer tuh ya hahahaha bela artis begitu manusah begoh
712,"<USERNAME> iya banyak berarti mereka norak kampyuung, coba liat artis yang adem ayem liat isyana liat agnezmo liat mba liaaat..... jangan diliat aja coba di telaah deh, dikasih tau contoh artis yang better eh jawabannya begini ya cocok la",yes,username iya norak kampyuung coba lihat artis adem ayem lihat isyana lihat agnezmo lihat mbak liaaat coba telaah deh kasih contoh artis better eh jawab ya cocok la
713,"<USERNAME> gak usah sok jadi high class mba, liat komenmu sendiri, memang semua artis itu sama, beda2 mbak, ada yg suka curhat di ig, ada yg curhat ke temen ada yg curhat ke Tuhan.... ngak usah trus mulut situ maju dulu otaknya belakangan mikirnya, yg curh",yes,username sok high class mbak lihat komenmu artis beda mbak suka curhat ig curhat teman curhat tuhan mulut situ maju otak berfikirnya curh
714,"<USERNAME> lah goblok amat, gak semua netizen yg kontra sm postingan si via ini bakajaer kali, mba/mas. Ih goblok kok dipiara. Lol",yes,username goblok netizen kontra postingan si via bakajaer kali mbamas ih goblok piara tertawa
715,Ini siapa sih emg artis? Ko artis indo bukan ny ngurus prestasi malah di sosmed ny beginian mulu isi nya jd jatoh nya kampungan,yes,sih emang artis ko artis indonesia nya urus prestasi sosmed nya isi nya jatuh nya kampung
716,"<USERNAME> baru itu aj kn y mba, apa lagi kaya agnes mo bnyk penghargaan ny tp g kampungan beda am yg ini",yes,username y mbak kaya agnes harga nya kampung beda am
717,Munafik bgt yg ngomong curhat di sosmed kampungan... Gua yakin elu juga kitu keleusss wkkwkww..... Mending mba via dia artis cantik bs nyanyi.. La elu pada? Lbh kampungan wkwkwkwkw!!!!,yes,munafik banget bicara curhat sosmed kampung kitu keleusss wkkwkww mending mbak via artis cantik nyanyi la kampung wkwkwkwkw
718,<USERNAME>.wawan zzzzz emng ini artis ga punya tmn apa? Dikit dikit att hahaha lagi juga apa apa curhat di sosmed kampungan,yes,usernamewawan emang artis teman att hahaha curhat sosmed kampung
719,Lemes ya mulutnya. Berani lewat ststus udah gitu tulisannya sengaja biar ga kebaca takut kali di labrak. Mmmm artis masih kampungan sih ya jadi wajar lah ya ????????,yes,lemas ya mulut berani ststus tulis sengaja biar baca takut kali labrak mmmm artis kampung sih ya wajar ya
720,<USERNAME> main main lah ke jawa timur.. Biar ga begok!!,yes,username main main jawa timur biar begok
721,<USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,yes,username nya orang nyindir netijen goblog banyak masyako
722,"<USERNAME> dia udah nunjukin karyanya, situ pny karya apa? Karya nyinyir hidupnya Via?? Tolol ??",yes,username nunjukin karya situ karya karya nyinyir hidup via tolol
723,"<USERNAME> siapa bilang gw fansnya Via?? Duh nantangin gw nih org... anak tolol ank alay, jablay!",yes,username bilang fansnya via duh nantangin nih orang anak tolol anak alay jablay
724,<USERNAME> yutub apaan ya mba? Aplikasi baru ya? Sy taunya youtube. Mba gak tau apa ya seseorg bs dpt penghasilan besar salah satunya dr youtube loh. Mreka jg di bayar apalagi klo bnyk yg ntn video mreka. Sekolah yg bener deh mba biar pinter. Generasi muda,yes,username yutub ya mbak aplikasi ya tahu youtube mbak ya seseorg hasil salah satu youtube loh bayar nonton video sekolah deh mbak biar pintar generasi muda
725,"gue suka gangerti deh yaa, kenapa kalo via vallen bikin status atau apalah itu disangkut pautin ama att mulu?? padahal att nya aja biasa aja.. Fansnya sih yg bikin jelek.. Orang kalo di sangkut pautin mulu jg lama-lama gerah kali..",yes,suka gangerti deh yaa via vallen bikin status apa sangkut pautin att att nya fansnya sih bikin jelek orang sangkut pautin lamalama gerah kali
726,Jujur aja ya ni org malah bagusan kaga oplas..ada tu foto dia sblm dn sesudah oplas..dioplas mukanya aneh...kyknya gagal oplasnya...,yes,jujur ya ni orang bagus oplasada foto oplasdioplas muka anehkyknya gagal oplasnya
727,Noraaak abiiis... Baru kebeli emas az pamer aplg mainan berlian ciiinnnnn.... ??,yes,noraaak abiiis beli emas az pamer main berlian ciiinnnnn
728,Before and after pasca oplas ga ngefek ya.. tetep jelek n serem mukanya..ahahahhaha..,yes,and pasca oplas ngefek ya jelek n seram mukanyaahahahhaha
729,"Salfok ke mukanya, sumpah jelek... Oplas apaan model begitu... Failed!!!",yes,salfok muka sumpah jelek oplas model gagal
730,Norak bener. Kegaet penjahat baru rasa.,yes,norak gaet jahat
731,"Najis..,apalagi d philipine biasa bgt kali,d sana aj bangga..jd perusak moral ko bangga..najis banget liatnya.ckp d sini aj komen ny,dia pngn ngetop lwt nitezerrre.....wkwkwk..ngarep laku",yes,najisapalagi philipine banget kalid banggajd usak moral ko bangganajis liatnyackp komen nydia ngetop nitezerrrewkwkwkngarep laku
732,Yang gua bingung jujur kenapa media pada rebutan ngeliput ini orang. Kayaknya cuman net doang media informasi yang masih waras,yes,bingung jujur media rebut liput orang kayak net media informasi waras
733,"Bukankah Jedun yg ga becus jadi perempuan terhormat, ga becus jadi perempuan cerdas, ga becus jadi perempuan yg mencari suami sah bukan suami orang, ga becus jadi perempuan yg menghindari narkoba, ga becus jadi perempuan yg menjaga nama baik keluarga... semoga hanya ada satu perempuan yg kayak kamu di dunia ini ya Jedun",yes,jedun becus perempuan hormat becus perempuan cerdas becus perempuan cari suami sah suami orang becus perempuan hindar narkoba becus perempuan jaga nama keluarga moga perempuan dunia ya jedun
734,"cewe yg bgni yg hrsnya gosong jd abu aja di kebakaran pabrik yg lg viral kmrn tu. bnr2 slain ga brguna, gda otak.. cm modal ngangkang trs gebet laki org trs bangga.. btw klo emg instastory nya buat nyindir sesebini tua mah. ehhh at least biar ga becus jd prewi tp becus cuii jd emak. buktinya anak nya bejibun trs smua pro ke emaknya drpd bapaknya",yes,cewek gosong abu bakar pabrik viral kemarin brguna otak modal ngangkang gebet laki orang bangga ngomong ngomong emang instastory nya nyindir bin tua mah ehhh at least biar becus prewi becus cuii emak bukti anak nya bejibun pro emaknya bapak
735,"Hahaha..kasian ya...gak becus jadi perem...harus ngerebut laki orang dulu biar dikata ""perempuan""? Dasar perempuan tak sadar diri ente cuy.",yes,hahahakasian yagak becus peremharus ngerebut laki orang biar kata perempuan dasar perempuan sadar cuy
736,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,yes,dasar artis abal abal laku layar kacaudh duit miskin miskinjadi main dukun elmu pelet rebut suami orang kaya
737,"ih dia kan paling becus makrum, paling becus ngrebut suami orang hehe????",yes,ih becus makrum becus rebut suami orang hehe
738,Eeee si pelacur. Situ becus jd brempuan emang? Becus jadi sampah sih iya. Edeuuuuuh lonte lonte,yes,eeee si lacur situ becus brempuan becus sampah sih iya edeuuuuuh lonte lonte
739,"Biarin,,,puas puasin mumpung deseu masih brasa muda. Ntar klo dah tua juga nyaho! Karma itu ada.",yes,biarinpuas puasin mumpung deseu asa muda tua nyaho karma
740,Dia ini punya anak perempuan lho. Ibu macam apa contohin jelek ke anaknya. Jauh dari kata BECUS ini perempuan. Amit amit...,yes,anak perempuan lho contohin jelek anak becus perempuan amit amit
741,Kaya becus aja jd permpuan dia yng g becus jd perempuan ko sukanya sm laki orng heheh,yes,kaya becus permpuan becus perempuan ko suka laki orang heheh
742,Yg gk becus tuh loh jedun...hidup nya cuma bisanya ngerusak kbhgiaan org lain .mau hidup serba mewah tp g mau krja mlh morotin laki org..karma psti akn mnghampirimu????????,yes,becus tuh loh jedunhidup nya bisa rusak kbhgiaan orang hidup serba mewah kerja morotin laki orgkarma mnghampirimu
743,Gue gak suka sm ni orang. Idupnya kebanyakan ribut.,yes,suka ni orang idupnya banyak ribut
744,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,yes,dasar artis abal abal laku layar kacaudh duit miskin miskinjadi main dukun elmu pelet rebut suami orang kaya
745,"Yg nama ny plagiat ya plagiat, walaupun laku tp tetep ajah ciptaan dri hasil plagiat..wkwkwkwk gua mah ogah dwngerin ajah udh pngen muntah",yes,nama nya plagiat ya plagiat laku cipta hasil plagiatwkwkwkwk mah ogah dwngerin muntah
746,"Dasar plagiat semuanya, ga bisa kreatip.memalukab bgt",yes,dasar plagiat kreatipmemalukab banget
747,"Dan dengan begonya dia bilang ""apanya yang sama yaaa liriknya aja tentang percintaan gitu kok lagu saya"" bener2 tolol si ayu. Gapunya kuping apa y orang yg dipermasalahin nadanya ????????",yes,bego bilang apa yaaa lirik cinta lagu tolol si ayu kuping y orang dipermasalahin nada
748,Itu pacarnya anggel pietrs kali.... dan cowok itu juga masih bocah.... <USERNAME> yaelah jes.. terxta kelakuan mu sama aja sprti ayuting2 Hidupmu penuh dengan drama MURAHAN,yes,pacar anggel pietrs kali cowok bocah username yaelah jes terxta laku mu ayuting hidup penuh drama murah
749,"japok gateeel emang,uda jelas dia ada main sama si mamad,sampe"" si jessica dimusuhin,deddy corbuzier aja jijik sama si japok semenjak nagita diundang di hitam putih berarti nagita cerita di belakang panggung,itu aja sih menurut gue",yes,japok gateeel emanguda main si mamadsampe si jessica dimusuhindeddy corbuzier jijik si japok semenjak nagita undang hitam putih nagita cerita panggungitu sih
750,<USERNAME> lebih memalukan anda buk ...ngomong pelakor emang ibuk udah pernah jadi pelakor ya kok bisa tau ayu pelakor wkwkwkwkwk. ..awas ibu nanti malah justru rumah tangga ibu yg dimasukin pelakor atau anaknya nanti jadi pelakor ..,yes,username malu buk bicara pelakor ibuk pelakor ya ayu pelakor wkwkwkwkwk awas rumah tangga dimasukin pelakor anak pelakor
751,Wah itu Kerdus mulutnya busuk...jangan jangan sampah makanannya,yes,kardus mulut busukjangan sampah makan
752,<USERNAME> TAI loe di gedein bagus buat pupuk jngan bacot loe goblok !!! nih cewek knpa bawa2 suku ?,yes,username tai gedein bagus pupuk bacot goblok nih cewek bawa suku
753,LAH ELO ARTIS APAAN? PAPAN BLENYEK AJA BELAGU AMAT ARTIS APAAN KGA POPULER SAMA SEKALU HAHAHA,yes,artis papan blenyek belagu artis populer sekalu hahaha
754,ANANG MUKA NYA KAYA BABIII GITU AJA DI DEMENIN JIJIKK,yes,anang muka nya kaya babiii demenin jijikk
755,"Kalau ga suka sama ayu ting ting ga usah separah itu dong ngejudge nya. Punya HATI dan OTAK kan? Dia juga manusia punya kekurangan dan juga punya kelebihan dan dia juga punya perasaan. Jadi jangan seenak nya menjudge orang seperti itu, kaya udah SEMPURNA AJA LO! <USERNAME>",yes,suka ayu ting ting parah ngejudge nya hati otak manusia kurang lebih asa enak nya menjudge orang kaya sempurna username
756,"Ga pantes dipanggil ustad..org munafik ceramah sana sini org kelakuan sndr aja menzolimi istri sah nya dgn poligami diam2.kacian istri pertamanya,ga tw malu istri keduanya.. hadeh klo ada yg msh manggil dia bwt ceramah namanya bodo..",yes,panggil ustadorg munafik ceramah orang laku menzolimi istri sah nya poligami diamkacian istri pertamanyaga malu istri aduh panggil ceramah nama bodoh
757,Biadab!! Klo nanti anak lo di bully.. Gue mampusin ya!!!,yes,biadab anak bully mampusin ya
758,"Dasar ANJING tuh cowok bukan org, berani sama cowok biasa one by one jangan sama yg lemah, dasar yah cowok2 jaman skrg, casing doank cowok, nyali nya lebih2 dari banci",yes,dasar anjing tuh cowok orang berani cowok one by one lemah dasar yah cowok jaman casing cowok nyali nya banci
